name,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age
Hyundai Santro Xing XO,80000,58000,Petrol,Dealer,Manual,Second Owner,18
Mahindra Bolero 2011-2019 SLE,325000,62200,Diesel,Dealer,Manual,First Owner,12
Audi A6 2.0 TDI Premium Plus,1470000,34000,Diesel,Dealer,Automatic,Second Owner,11
Fiat Avventura MULTIJET Emotion,350000,53000,Diesel,Individual,Manual,Second Owner,10
Audi A8 4.2 TDI,2800000,49000,Diesel,Dealer,Automatic,First Owner,12
Datsun RediGO 1.0 S,210000,15000,Petrol,Dealer,Manual,Second Owner,8
Volkswagen Jetta 1.4 TSI Comfortline,450000,50000,Petrol,Individual,Manual,First Owner,12
Audi A4 2.0 TDI 177 Bhp Premium Plus,1150000,53000,Diesel,Dealer,Automatic,First Owner,12
Honda Civic 1.8 V AT,210000,63500,Petrol,Dealer,Automatic,First Owner,16
Mercedes-Benz E-Class Exclusive E 200 BSIV,4500000,9800,Petrol,Dealer,Automatic,First Owner,7
BMW X1 sDrive 20d xLine,2750000,13000,Diesel,Individual,Automatic,First Owner,8
Volvo V40 D3 R Design,1975000,21000,Diesel,Dealer,Automatic,First Owner,7
Maruti SX4 Zxi BSIII,175000,29173,Petrol,Dealer,Manual,First Owner,17
BMW 7 Series 730Ld,2500000,48000,Diesel,Dealer,Automatic,First Owner,13
Mahindra Bolero Power Plus SLX,628000,120000,Diesel,Individual,Manual,First Owner,8
Hyundai Sonata CRDi M/T,600000,100000,Diesel,Individual,Manual,First Owner,15
Nissan Micra Active XV Petrol,399000,30000,Petrol,Individual,Manual,First Owner,8
Mahindra Xylo D4,750000,87000,Diesel,Individual,Manual,First Owner,7
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,750000,15000,Petrol,Individual,Manual,First Owner,6
Renault KWID RXT,315000,16000,Petrol,Individual,Manual,First Owner,8
Mahindra Xylo E4 BS III,600000,60000,Diesel,Individual,Manual,First Owner,13
Maruti Wagon R LXI Minor,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,15
Maruti SX4 ZXI MT BSIV,250000,110000,Petrol,Individual,Manual,Third Owner,14
Renault KWID RXT,350000,25000,Petrol,Individual,Manual,First Owner,8
Hyundai Creta 1.4 CRDi S,780000,60000,Diesel,Individual,Manual,First Owner,9
Maruti Swift Dzire VDI,434000,79350,Diesel,Individual,Manual,Second Owner,11
Hyundai Verna 1.6 VTVT AT S Option,690000,80000,Petrol,Individual,Automatic,First Owner,9
Mahindra Scorpio LX BSIV,555000,90000,Diesel,Individual,Manual,Second Owner,11
Maruti SX4 Vxi BSIII,120000,90000,Petrol,Individual,Manual,Second Owner,18
Maruti Ertiga VDI,500000,120000,Diesel,Individual,Manual,Second Owner,11
Chevrolet Beat Diesel,165000,60000,Diesel,Individual,Manual,Second Owner,12
Maruti Zen LX,95000,50000,Petrol,Individual,Manual,First Owner,21
Maruti Baleno Delta 1.2,550000,20000,Petrol,Individual,Manual,First Owner,7
Maruti Swift Vdi BSIII,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,18
Tata Nano Lx BSIV,100000,50000,Petrol,Individual,Manual,Second Owner,13
Toyota Innova 2.5 GX (Diesel) 8 Seater,500000,100000,Diesel,Individual,Manual,First Owner,13
Maruti Ertiga SHVS VDI,800000,70000,Diesel,Individual,Manual,Second Owner,9
Hyundai Creta 1.6 CRDi SX,840000,70000,Diesel,Individual,Manual,Second Owner,9
Honda Amaze S i-Vtech,490000,50000,Petrol,Individual,Manual,First Owner,9
Tata Indica Vista Aqua 1.4 TDI,125000,81000,Diesel,Individual,Manual,Second Owner,15
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,400000,120000,Diesel,Individual,Manual,Third Owner,13
Chevrolet Cruze LTZ,1000000,3600,Diesel,Dealer,Manual,First Owner,10
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,530000,14272,Petrol,Dealer,Manual,First Owner,10
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,840000,49213,Diesel,Dealer,Manual,First Owner,8
Hyundai i10 Sportz 1.1L,229999,40000,Petrol,Individual,Manual,First Owner,10
Maruti 800 Std,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,27
Chevrolet Spark 1.0 LS,130000,80000,Petrol,Individual,Manual,First Owner,13
Hyundai EON Era Plus,200000,70000,Petrol,Individual,Manual,First Owner,10
Tata Indica Vista Aqua TDI BSIII,120000,70000,Diesel,Individual,Manual,First Owner,14
Hyundai Santro LP zipPlus,75000,57000,Petrol,Individual,Manual,First Owner,22
Tata Bolt Quadrajet XE,250000,120000,Diesel,Individual,Manual,First Owner,9
Maruti 800 AC BSIII,100000,30000,Petrol,Individual,Manual,First Owner,20
Hyundai EON Era Plus,280000,3240,Petrol,Individual,Manual,Second Owner,12
Hyundai i20 Magna 1.2,540000,5000,Petrol,Individual,Manual,First Owner,10
Hyundai i20 1.2 Asta,700000,10000,Petrol,Individual,Manual,First Owner,7
Maruti Ciaz VDi Plus,525000,100000,Diesel,Individual,Manual,First Owner,10
Hyundai i20 Asta 1.4 CRDi,430000,80000,Diesel,Individual,Manual,First Owner,9
Hyundai Santro LE,65000,70000,Petrol,Individual,Manual,First Owner,23
Maruti Vitara Brezza VDi,800000,35000,Diesel,Individual,Manual,First Owner,7
Hyundai Santro Xing XL eRLX Euro III,75000,114000,Petrol,Individual,Manual,Second Owner,18
Hyundai Getz 1.3 GLS,210000,53772,Petrol,Individual,Manual,First Owner,17
Mahindra Quanto C8,195000,140000,Diesel,Individual,Manual,Second Owner,13
Chevrolet Tavera Neo 3 LS 7 C BSIII,400000,120000,Diesel,Individual,Manual,First Owner,10
Hyundai EON Magna Plus,170000,60000,Petrol,Individual,Manual,First Owner,13
Renault KWID RXT,225000,25000,Petrol,Individual,Manual,First Owner,9
Maruti Wagon R DUO LPG,210000,90000,LPG,Individual,Manual,First Owner,11
Maruti Wagon R LXI,240000,120000,Petrol,Individual,Manual,First Owner,5
Chevrolet Enjoy 1.3 TCDi LS 8,300000,175000,Diesel,Individual,Manual,First Owner,10
Chevrolet Spark 1.0 LS,99000,100000,Petrol,Individual,Manual,Third Owner,14
Honda City i VTEC SV,620000,36000,Petrol,Individual,Manual,First Owner,11
Honda Amaze VX i-DTEC,500000,30000,Diesel,Individual,Manual,First Owner,12
Jaguar XJ 5.0 L V8 Supercharged,2550000,40000,Petrol,Individual,Automatic,Second Owner,15
Honda Brio E MT,260000,70000,Petrol,Individual,Manual,Second Owner,12
Maruti Swift VVT ZXI,550000,60000,Petrol,Individual,Manual,First Owner,8
Tata Indigo CR4,150000,155500,Diesel,Individual,Manual,First Owner,14
Hyundai i10 Asta AT,350000,50000,Petrol,Individual,Automatic,Second Owner,14
Chevrolet Beat LT,320000,40000,Petrol,Individual,Manual,First Owner,9
Maruti Swift VDI BSIV,400000,100000,Diesel,Individual,Manual,Third Owner,10
Maruti Alto LXi,175000,80000,Petrol,Individual,Manual,Third Owner,13
Chevrolet Beat LT,120000,90000,Petrol,Individual,Manual,Second Owner,14
Renault Duster 110PS Diesel RxZ,320000,90000,Diesel,Individual,Manual,Second Owner,12
Hyundai Santro Xing XG,70000,110000,Petrol,Individual,Manual,Third Owner,19
Maruti Swift Dzire ZXI Plus,810000,15000,Petrol,Individual,Manual,First Owner,6
Maruti 800 AC,95000,100000,Petrol,Individual,Manual,Second Owner,18
Maruti Alto K10 LXI CNG,282000,40000,CNG,Individual,Manual,First Owner,5
Maruti 800 Std BSII,80000,60000,Petrol,Individual,Manual,Second Owner,21
Tata Nano LX SE,72000,25000,Petrol,Individual,Manual,First Owner,12
Hyundai i20 Magna 1.2,600000,25000,Petrol,Individual,Manual,First Owner,9
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,640000,23000,Petrol,Individual,Manual,First Owner,10
Maruti Alto K10 VXI,380000,22155,Petrol,Individual,Manual,First Owner,7
Maruti Ciaz 1.4 Delta,650000,70000,Petrol,Individual,Manual,First Owner,7
Maruti Alto LX,150000,60000,Petrol,Individual,Manual,Second Owner,16
Hyundai i20 Asta,280000,110000,Petrol,Individual,Manual,Second Owner,16
Tata Nexon 1.2 Revotron XM,430000,30000,Petrol,Individual,Manual,First Owner,7
Mahindra Bolero Power Plus SLX,800000,15000,Diesel,Individual,Manual,First Owner,6
Maruti Zen D,75000,100000,Diesel,Individual,Manual,Second Owner,22
Volkswagen Vento Celeste 1.5 TDI Highline AT,650000,70000,Diesel,Individual,Automatic,First Owner,9
Maruti Eeco 7 Seater Standard BSIV,390000,24000,Petrol,Individual,Manual,First Owner,8
Honda City 1.5 EXI,100000,120000,Petrol,Individual,Manual,Second Owner,20
Mercedes-Benz New C-Class 220 CDI AT,1500000,35000,Diesel,Individual,Automatic,First Owner,12
Maruti SX4 Zxi with Leather BSIII,175000,78380,Petrol,Individual,Manual,First Owner,18
Renault Duster 110PS Diesel RxZ,434999,110000,Diesel,Individual,Manual,Second Owner,13
Ford Figo Diesel Titanium,170000,90000,Diesel,Individual,Manual,Third Owner,15
Ford Figo Diesel Titanium,190000,90000,Diesel,Individual,Manual,Third Owner,14
Maruti Swift Dzire VDi,250000,150000,Diesel,Individual,Manual,Third Owner,16
Mahindra Xylo E4,229999,230000,Diesel,Individual,Manual,Third Owner,16
Maruti Esteem Vxi - BSIII,140000,70000,Petrol,Individual,Manual,Third Owner,19
Maruti Swift VDI BSIV,600000,80362,Diesel,Individual,Manual,First Owner,8
Hyundai i20 1.2 Sportz,280000,110000,Petrol,Individual,Manual,Third Owner,13
Chevrolet Beat Diesel LT,150000,60000,Diesel,Individual,Manual,First Owner,13
Chevrolet Cruze LTZ AT,650000,50000,Diesel,Individual,Automatic,First Owner,10
Nissan Micra XL,210000,40000,Petrol,Individual,Manual,Second Owner,11
BMW 5 Series 520d Luxury Line,2900000,40000,Diesel,Individual,Automatic,First Owner,8
Chevrolet Enjoy 1.3 TCDi LS 8,425000,20000,Diesel,Dealer,Manual,First Owner,12
Hyundai EON Era Plus Option,265000,55000,Petrol,Dealer,Manual,First Owner,11
Fiat Linea T Jet Emotion,890000,1136,Petrol,Dealer,Manual,First Owner,7
Renault Scala RxL,365000,55000,Petrol,Dealer,Manual,First Owner,12
Ford Figo Petrol Titanium,350000,43000,Petrol,Dealer,Manual,First Owner,11
Maruti Ciaz ZDi SHVS,685000,60000,Diesel,Individual,Manual,First Owner,9
Skoda Rapid 1.5 TDI Ambition BSIV,940000,2650,Diesel,Dealer,Manual,First Owner,7
Mahindra XUV500 W6 2WD,1000000,40000,Diesel,Individual,Manual,First Owner,8
Mahindra XUV300 W8 Option,1150000,15000,Petrol,Dealer,Manual,First Owner,6
Maruti Ertiga SHVS ZDI,450000,115962,Diesel,Individual,Manual,Second Owner,9
Nissan Terrano XE D,590000,65000,Diesel,Dealer,Manual,First Owner,10
Maruti S-Cross Facelift,800000,40000,Diesel,Individual,Manual,First Owner,8
Hyundai i20 Magna 1.4 CRDi (Diesel),385000,58000,Diesel,Dealer,Manual,First Owner,13
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2000000,15000,Diesel,Individual,Automatic,First Owner,12
Hyundai EON Era Plus,235000,54000,Petrol,Dealer,Manual,First Owner,13
Volkswagen Ameo 1.5 TDI Highline,640000,56000,Diesel,Dealer,Manual,First Owner,8
Maruti Alto LX,52000,120000,Petrol,Individual,Manual,Third Owner,19
Maruti Omni LPG CARGO BSIII W IMMOBILISER,80000,90000,LPG,Individual,Manual,Second Owner,16
Maruti Alto LX,140000,70000,Petrol,Individual,Manual,Second Owner,13
Hyundai Verna i (Petrol),120000,90000,Petrol,Individual,Manual,Second Owner,17
Mahindra Renault Logan 1.5 DLS,89999,213000,Diesel,Individual,Manual,First Owner,17
Chevrolet Optra Magnum 2.0 LS BSIII,180000,120000,Diesel,Individual,Manual,First Owner,13
Mahindra Scorpio S11 BSIV,1500000,20000,Diesel,Individual,Manual,First Owner,8
Hyundai i20 Active 1.2 SX,700000,10000,Petrol,Individual,Manual,First Owner,8
Maruti SX4 Celebration Diesel,285000,80000,Diesel,Individual,Manual,Second Owner,13
Hyundai Grand i10 Magna,390000,90000,Petrol,Individual,Manual,First Owner,10
Maruti Alto LXi BSIII,125000,80000,Petrol,Individual,Manual,First Owner,17
Maruti SX4 Zxi with Leather BSIII,225000,60000,Petrol,Individual,Manual,Second Owner,17
Hyundai i10 Era,175000,139000,Petrol,Individual,Manual,Second Owner,14
Toyota Innova 2.5 V Diesel 7-seater,1075000,160000,Diesel,Individual,Manual,Second Owner,14
Honda Mobilio V i DTEC,300000,150000,Diesel,Individual,Manual,First Owner,11
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,15
Tata Indica V2 2001-2011 DLS BSIII,90000,120000,Diesel,Dealer,Manual,First Owner,16
Tata Indica Vista TDI LS,120000,120000,Diesel,Individual,Manual,Second Owner,14
Chevrolet Beat Diesel LS,220000,100000,Diesel,Individual,Manual,Second Owner,13
Tata Zest Quadrajet 1.3 75PS XE,300000,140000,Diesel,Dealer,Manual,First Owner,10
Skoda Fabia 1.2L Diesel Ambiente,180000,87000,Diesel,Dealer,Manual,Second Owner,15
Maruti 800 Std,170000,70000,Petrol,Individual,Manual,First Owner,12
Ford Figo Petrol Titanium,300000,50000,Petrol,Individual,Manual,Second Owner,10
Toyota Innova 2.5 VX (Diesel) 8 Seater,1050000,70000,Diesel,Individual,Manual,First Owner,11
Hyundai Grand i10 1.2 CRDi Asta,465000,25000,Diesel,Individual,Manual,First Owner,7
Chevrolet Beat Diesel LT,130000,80000,Diesel,Individual,Manual,Second Owner,14
Datsun GO Plus T Option Petrol,434999,10000,Petrol,Individual,Manual,First Owner,7
Hyundai Grand i10 1.2 Kappa Asta,500000,32000,Petrol,Individual,Manual,First Owner,7
Maruti Omni MPI STD BSIV,200000,10000,Petrol,Individual,Manual,First Owner,7
Maruti Baleno Alpha 1.2,625000,52000,Petrol,Dealer,Manual,First Owner,8
Ford Fiesta Classic 1.4 SXI Duratorq,110000,120000,Diesel,Individual,Manual,Third Owner,19
Hyundai Elite i20 Asta Option BSIV,800000,11240,Petrol,Individual,Manual,First Owner,6
Hyundai Grand i10 CRDi Magna,490000,66000,Diesel,Dealer,Manual,First Owner,8
Maruti Ertiga SHVS ZDI,880000,64000,Diesel,Dealer,Manual,First Owner,8
Hyundai Santro Xing GL Plus,290000,49000,Petrol,Individual,Manual,First Owner,12
Tata Sumo GX TC 7 Str BSIII,115999,100000,Diesel,Individual,Manual,Second Owner,19
Renault KWID RXT,360000,26500,Petrol,Individual,Manual,First Owner,7
Maruti 800 AC,65000,100000,Petrol,Individual,Manual,Second Owner,23
Maruti Vitara Brezza LDi Option,685000,72000,Diesel,Dealer,Manual,First Owner,8
Honda Jazz S,300000,50000,Petrol,Individual,Manual,First Owner,16
Hyundai i20 1.4 Sportz,680000,44000,Diesel,Dealer,Manual,First Owner,8
Maruti Ertiga SHVS ZDI Plus,1000000,60000,Diesel,Individual,Manual,Second Owner,8
Tata Sumo SE Plus BSIII,100000,120000,Diesel,Individual,Manual,First Owner,23
Mahindra Xylo E4,160000,130000,Diesel,Individual,Manual,First Owner,15
Maruti Swift ZDi BSIV,450000,70000,Diesel,Individual,Manual,First Owner,8
Maruti Ertiga VXI,600000,20000,Petrol,Individual,Manual,First Owner,11
Hyundai i20 1.4 Magna ABS,180000,60000,Diesel,Individual,Manual,Second Owner,16
Maruti Alto LXi,100000,195000,Petrol,Individual,Manual,First Owner,18
Maruti Alto LXi,120000,90000,Petrol,Individual,Manual,Second Owner,15
Hyundai Getz GL,130000,80000,Petrol,Individual,Manual,Third Owner,19
Maruti Wagon R LX BS IV,160000,155000,Petrol,Individual,Manual,First Owner,14
Mahindra Bolero Power Plus SLX,860000,35000,Diesel,Individual,Manual,First Owner,6
Hyundai i20 1.2 Spotz,650000,20000,Petrol,Individual,Manual,Second Owner,7
Maruti Wagon R LXI Minor,100000,80000,Petrol,Individual,Manual,Second Owner,15
Maruti Alto 800 VXI,282000,20000,Petrol,Individual,Manual,First Owner,8
Hyundai i20 Asta (o),300000,50000,Petrol,Individual,Manual,First Owner,16
Hyundai i20 Asta,270000,110000,Petrol,Individual,Manual,Second Owner,15
Hyundai Verna 1.6 SX CRDi (O),550000,29000,Diesel,Individual,Manual,First Owner,12
Mahindra Xylo D2 BSIV,450000,120000,Diesel,Individual,Manual,First Owner,12
Mahindra Bolero SLX 2WD BSIII,430000,70000,Diesel,Individual,Manual,Second Owner,14
Maruti Ertiga VXI ABS,350000,40000,Petrol,Individual,Manual,First Owner,12
Honda Brio 1.2 E MT,350000,20000,Petrol,Individual,Manual,First Owner,8
Toyota Etios Liva G,229999,50000,Petrol,Individual,Manual,Second Owner,12
Maruti Alto 800 LXI,110000,50000,Petrol,Individual,Manual,First Owner,12
Maruti Swift Dzire 1.2 Vxi BSIV,395000,49000,Petrol,Individual,Manual,Second Owner,13
Mahindra Scorpio VLS AT 2.2 mHAWK,650000,70000,Diesel,Individual,Automatic,Second Owner,14
Mahindra Bolero SLX,350000,90000,Diesel,Individual,Manual,Second Owner,14
Mahindra XUV500 W11 Option AWD,1400000,25000,Diesel,Dealer,Manual,First Owner,5
Tata Tiago 1.2 Revotron XZ,360000,4000,Petrol,Individual,Manual,First Owner,7
Mahindra Marazzo M8 8Str,1300000,10000,Diesel,Individual,Manual,First Owner,7
Renault Duster 110PS Diesel RxL,800000,15000,Diesel,Individual,Manual,First Owner,10
Hyundai EON Magna Plus,229999,30000,Petrol,Individual,Manual,First Owner,7
Maruti Wagon R VXI,315000,41000,Petrol,Dealer,Manual,First Owner,11
Chevrolet Spark 1.0 LT,125000,28000,Petrol,Individual,Manual,First Owner,13
Maruti Baleno Alpha,700000,16000,Petrol,Individual,Manual,First Owner,6
Hyundai EON 1.0 Kappa Magna Plus,160000,70000,Petrol,Individual,Manual,First Owner,10
Ford Figo Aspire 1.2 Ti-VCT Trend,530000,10832,Petrol,Dealer,Manual,First Owner,8
Ford Figo Aspire Facelift,624000,14681,Diesel,Dealer,Manual,First Owner,7
Hyundai i10 Era,250000,50000,Petrol,Individual,Manual,First Owner,16
Mahindra Bolero SLX,585000,51000,Diesel,Dealer,Manual,First Owner,9
Hyundai Verna 1.4 VTVT,500000,25000,Petrol,Individual,Manual,First Owner,10
Chevrolet Sail 1.2 LT ABS,350000,30000,Petrol,Individual,Manual,First Owner,11
Honda City i-DTEC SV,495000,80000,Diesel,Dealer,Manual,First Owner,11
Hyundai Grand i10 1.2 Kappa Asta,500000,50000,Petrol,Individual,Manual,First Owner,8
Mahindra Bolero Power Plus Plus AC BSIV PS,430000,200000,Diesel,Individual,Manual,First Owner,10
Hyundai Grand i10 1.2 Kappa Sportz Option,345000,44000,Petrol,Dealer,Manual,First Owner,12
Maruti Baleno Sigma 1.2,500000,10000,Petrol,Individual,Manual,First Owner,10
Tata Tiago 1.2 Revotron XZ,425000,19600,Petrol,Individual,Manual,First Owner,6
Maruti Wagon R LXI,80000,40000,Petrol,Individual,Manual,Second Owner,20
Chevrolet Beat Diesel LS,106000,50000,Diesel,Individual,Manual,First Owner,14
Maruti A-Star Vxi,180000,46730,Petrol,Individual,Manual,First Owner,16
Datsun GO A,250000,40000,Petrol,Individual,Manual,Second Owner,10
Skoda Yeti Ambition 4WD,350000,80000,Diesel,Individual,Manual,First Owner,14
Maruti Zen LXi BSII,60000,80000,Petrol,Individual,Manual,Second Owner,23
Hyundai Verna CRDi 1.6 EX,900000,24000,Diesel,Individual,Manual,First Owner,7
Ford Aspire Titanium Diesel BSIV,700000,21170,Diesel,Dealer,Manual,First Owner,8
BMW 3 Series 320d Sport,2000000,167223,Diesel,Dealer,Automatic,First Owner,12
Maruti Ertiga SHVS ZDI Plus,1000000,40000,Diesel,Individual,Manual,First Owner,8
BMW X1 sDrive 20d Exclusive,1375000,60000,Diesel,Individual,Automatic,First Owner,14
Toyota Innova Crysta 2.4 VX MT,1800000,141440,Diesel,Dealer,Manual,First Owner,9
Chevrolet Tavera Neo 3 10 Seats BSIV,160000,120000,Diesel,Individual,Manual,Third Owner,18
Mitsubishi Outlander 2.4,525000,140000,Petrol,Individual,Automatic,First Owner,13
Mahindra XUV500 W8 2WD,850000,212814,Diesel,Dealer,Manual,First Owner,13
Maruti Baleno Alpha 1.3,800000,30000,Diesel,Individual,Manual,First Owner,6
Ford Figo Aspire 1.5 TDCi Titanium,700000,88635,Diesel,Dealer,Manual,First Owner,8
Maruti Swift Dzire VDI,800000,25000,Diesel,Individual,Manual,First Owner,7
